Date,Open,High,Low,Close,Volume,Adj Close,,Adj Close 364 days ago,Diff with a year ago,Diff-percent
03/11/15,211.139999,212.869995,210.910004,212.130005,3078100,210.921991,04/11/14,197.074952,13.84704,0.070263
02/11/15,209.520004,211.809998,209.369995,211.600006,4298000,210.39501,03/11/14,197.736971,12.65804,0.064015
30/10/15,210.259995,210.610001,208.929993,209.050003,3971300,207.859529,31/10/14,197.62015,10.23938,0.051813
29/10/15,209.539993,210.440002,209.389999,210,3383000,208.804116,30/10/14,195.497811,13.30631,0.068064
28/10/15,208.190002,210.139999,207.389999,210.110001,4517700,208.91349,29/10/14,194.164058,14.74943,0.075964
27/10/15,207.330002,208.169998,206.949997,207.779999,4240700,206.596757,28/10/14,194.387969,12.20879,0.062806
26/10/15,208.490005,208.529999,207.75,208.179993,3308800,206.994473,27/10/14,192.207221,14.78725,0.076934
23/10/15,208.470001,209.110001,207.470001,208.660004,4272700,207.47175,24/10/14,192.450607,15.02114,0.078052
22/10/15,204.149994,206.649994,203.960007,206.339996,4176600,205.164955,23/10/14,191.087648,14.07731,0.073669
21/10/15,204.800003,205.020004,202.779999,203,5138300,201.843978,22/10/14,188.867964,12.97601,0.068704
20/10/15,204.050003,204.979996,203.699997,204.190002,2440200,203.027204,21/10/14,190.182257,12.84495,0.067540
19/10/15,203.660004,204.509995,203.279999,204.490005,3960000,203.325499,20/10/14,186.511984,16.81352,0.090147
16/10/15,203.949997,204.410004,203.050003,204.330002,3678900,203.166406,17/10/14,184.749868,18.41654,0.099684
15/10/15,201.270004,203.470001,200.759995,203.429993,3016700,202.271522,16/10/14,182.471758,19.79976,0.108509
14/10/15,201.320007,202,200.070007,200.360001,2526300,199.219013,15/10/14,182.530184,16.68883,0.091431
13/10/15,201.759995,203.279999,201.179993,201.369995,3841600,200.223256,14/10/14,184.000233,16.22302,0.088168
12/10/15,202.550003,202.869995,202.039993,202.679993,2128900,201.525793,13/10/14,183.57187,17.95392,0.097803
09/10/15,202.630005,203.029999,201.729996,202.5,3299600,201.346826,10/10/14,186.726165,14.62066,0.078300
08/10/15,199.979996,202.669998,199.699997,202.350006,5945300,201.197686,09/10/14,188.770604,12.42708,0.065832
07/10/15,200.050003,200.929993,198.589996,200.509995,4975200,199.368153,08/10/14,192.703739,6.66441,0.034584
06/10/15,199.419998,200.080002,198.089996,198.869995,4451000,197.737493,07/10/14,189.413148,8.32434,0.043948
05/10/15,197.539993,199.839996,197.429993,199.619995,4802800,198.483222,06/10/14,192.333786,6.14944,0.031973
02/10/15,190.800003,196.070007,190.190002,196.070007,4667800,194.95345,03/10/14,192.586918,2.36653,0.012288
01/10/15,193.139999,193.529999,190.880005,193.240005,6009700,192.139564,02/10/14,190.503515,1.63605,0.008588
30/09/15,191.490005,192.880005,190.490005,192.720001,7919900,191.622521,01/10/14,190.484054,1.13847,0.005977
29/09/15,189.300003,190.770004,187.970001,189.050003,9002500,187.973422,30/09/14,193.015266,-5.04184,-0.026121
28/09/15,192.850006,192.949997,188.710007,189.009995,11841600,187.933642,29/09/14,193.521514,-5.58787,-0.028875
