Date,Open,High,Low,Close,Volume,Adj Close,,Adj Close 364 days ago,Diff with a year ago,Diff-percent
23/10/15,207.25,207.949997,206.300003,207.509995,144442300,206.282316,24/10/14,191.402131,14.88019,0.077743
22/10/15,202.979996,205.509995,201.850006,205.259995,174911700,204.045628,23/10/14,189.940525,14.10510,0.074261
21/10/15,203.610001,203.789993,201.649994,201.850006,102038000,200.655813,22/10/14,187.75787,12.89794,0.068695
20/10/15,202.850006,203.839996,202.550003,203.110001,78448500,201.908354,21/10/14,189.102552,12.80580,0.067719
19/10/15,202.5,203.369995,202.130005,203.369995,76523900,202.16681,20/10/14,185.429046,16.73776,0.090265
16/10/15,202.830002,203.289993,201.919998,203.270004,109692900,202.067411,17/10/14,183.645885,18.42153,0.100310
15/10/15,200.080002,202.360001,199.639999,202.350006,134142200,201.152855,16/10/14,181.5022,19.65066,0.108267
14/10/15,200.179993,200.869995,198.940002,199.289993,99106200,198.110946,15/10/14,181.658093,16.45285,0.090570
13/10/15,200.649994,202.160004,200.050003,200.25,88038700,199.065273,14/10/14,182.89559,16.16968,0.088409
12/10/15,201.419998,201.759995,200.910004,201.520004,56395600,200.327764,13/10/14,182.613019,17.71475,0.097007
09/10/15,201.380005,201.899994,200.580002,201.330002,107069200,200.138886,10/10/14,185.662893,14.47599,0.077969
08/10/15,198.949997,201.550003,198.589996,201.210007,153055200,200.0196,09/10/14,187.806593,12.21301,0.065030
07/10/15,198.899994,199.830002,197.479996,199.410004,124307300,198.230247,08/10/14,191.606762,6.62348,0.034568
06/10/15,198.309998,198.979996,197,197.789993,110274500,196.619821,07/10/14,188.313273,8.30655,0.044110
05/10/15,196.460007,198.740005,196.330002,198.470001,126320800,197.295805,06/10/14,191.265715,6.03009,0.031527
02/10/15,189.770004,195.029999,189.119995,195,211003300,193.846334,03/10/14,191.489839,2.35650,0.012306
01/10/15,192.080002,192.490005,189.820007,192.130005,131079000,190.993318,02/10/14,189.404615,1.58870,0.008388
30/09/15,190.369995,191.830002,189.440002,191.630005,163452000,190.496276,01/10/14,189.375384,1.12089,0.005919
29/09/15,188.270004,189.740005,186.929993,188.119995,159045600,187.007032,30/09/14,191.977041,-4.97001,-0.025889
28/09/15,191.779999,191.910004,187.639999,188.009995,178515900,186.897683,29/09/14,192.48372,-5.58604,-0.029021
25/09/15,194.639999,195,191.809998,192.869995,155054800,191.72893,26/09/14,192.834506,-1.10558,-0.005733
24/09/15,192.149994,193.449997,190.559998,192.899994,159378800,191.758752,25/09/14,191.314438,0.44431,0.002322
23/09/15,194.110001,194.669998,192.910004,193.600006,92790600,192.454622,24/09/14,194.45202,-1.99740,-0.010272
22/09/15,193.880005,194.460007,192.559998,193.899994,153890900,192.752835,23/09/14,192.941691,-0.18886,-0.000979
21/09/15,196.440002,197.679993,195.210007,196.460007,105726200,195.297703,22/09/14,194.052511,1.24519,0.006417
18/09/15,195.710007,198.679993,194.960007,195.449997,223657500,194.293668,19/09/14,195.562839,-1.26917,-0.006490
17/09/15,200.020004,202.889999,199.279999,199.729996,276046600,197.521458,18/09/14,195.739213,1.78224,0.009105
16/09/15,198.820007,200.410004,198.410004,200.179993,99581600,197.966479,17/09/14,194.701445,3.26503,0.016769
15/09/15,196.610001,198.990005,195.960007,198.449997,113806200,196.255613,16/09/14,194.439575,1.81604,0.009340
14/09/15,196.949997,197.009995,195.429993,196.009995,79452000,193.842591,15/09/14,192.98477,0.85782,0.004445
11/09/15,195.380005,196.820007,194.529999,196.740005,119691200,194.56453,12/09/14,193.13026,1.43427,0.007426
10/09/15,194.559998,197.220001,194.25,195.850006,158611100,193.684372,11/09/14,194.265006,-0.58063,-0.002989
09/09/15,199.320007,199.470001,194.350006,194.789993,149347700,192.63608,10/09/14,194.04194,-1.40586,-0.007245
08/09/15,195.940002,197.610001,195.169998,197.429993,116025700,195.246888,09/09/14,193.314537,1.93235,0.009996
04/09/15,192.850006,193.860001,191.610001,192.589996,207081000,190.46041,05/09/14,194.546262,-4.08585,-0.021002
03/09/15,196.259995,198.050003,194.960007,195.550003,152087800,193.387686,04/09/14,195.050598,-1.66291,-0.008526
02/09/15,194.619995,195.460007,192.419998,195.410004,160269300,193.249235,03/09/14,194.177721,-0.92849,-0.004782
01/09/15,193.119995,194.770004,190.729996,191.770004,256000400,189.649485,02/09/14,194.458977,-4.80949,-0.024733
31/08/15,198.110001,199.130005,197.009995,197.669998,163298800,195.484239,01/09/14,194.565663,0.91858,0.004721
28/08/15,198.5,199.839996,197.919998,199.279999,160414400,197.076437,29/08/14,194.662656,2.41378,0.012400
27/08/15,197.020004,199.419998,195.210007,199.270004,274143900,197.066553,28/08/14,194.109823,2.95673,0.015232
26/08/15,192.080002,194.789993,188.369995,194.460007,339257000,192.309743,27/08/14,194.216509,-1.90677,-0.009818
25/08/15,195.429993,195.449997,186.919998,187.270004,369833100,185.199245,26/08/14,194.294101,-9.09486,-0.046810
24/08/15,187.490005,197.479996,182.399994,189.5,507244300,187.404582,25/08/14,194.168013,-6.76343,-0.034833
21/08/15,201.729996,203.940002,197.520004,197.830002,346588500,195.642474,22/08/14,193.188449,2.45403,0.012703
20/08/15,206.509995,208.289993,203.899994,203.970001,194327900,201.714579,21/08/14,193.489107,8.22547,0.042511
19/08/15,209.089996,210.009995,207.350006,208.320007,172946000,206.016485,20/08/14,192.92658,13.08991,0.067849
18/08/15,210.259995,210.679993,209.699997,209.979996,71692700,207.658118,19/08/14,192.41255,15.24557,0.079234
17/08/15,208.710007,210.589996,208.160004,210.589996,79072600,208.261373,18/08/14,191.413585,16.84779,0.088018
14/08/15,208.429993,209.509995,208.259995,209.419998,72786500,207.104312,15/08/14,189.822999,17.28131,0.091039
13/08/15,208.729996,209.550003,208.009995,208.660004,89383300,206.352722,14/08/14,189.861787,16.49094,0.086858
12/08/15,207.110001,209.139999,205.360001,208.919998,172123700,206.609841,13/08/14,188.969508,17.64033,0.093350
11/08/15,208.970001,209.470001,207.759995,208.660004,126081400,206.352722,12/08/14,187.69898,18.65374,0.099381
10/08/15,209.279999,210.669998,209.279999,210.570007,80270700,208.241605,11/08/14,187.96085,20.28076,0.107899
07/08/15,208.160004,208.339996,206.869995,207.949997,117858000,205.650566,08/08/14,187.417725,18.23284,0.097285
06/08/15,210.289993,210.419998,207.649994,208.350006,116030800,206.046152,07/08/14,185.274305,20.77185,0.112114
05/08/15,210.449997,211.309998,209.729996,210.070007,85786800,207.747134,06/08/14,186.282978,21.46416,0.115223
04/08/15,209.699997,210.25,208.800003,209.380005,81820800,207.064761,05/08/14,186.224774,20.83999,0.111908
03/08/15,210.460007,210.529999,208.649994,209.789993,113965700,207.470216,04/08/14,188.048134,19.42208,0.103283
31/07/15,211.419998,211.449997,210.160004,210.5,103266900,208.172372,01/08/14,186.700015,21.47236,0.115010
30/07/15,210.160004,211.020004,209.419998,210.820007,91304400,208.488841,31/07/14,187.272235,21.21661,0.113293
29/07/15,209.479996,211.039993,209.309998,210.770004,105791300,208.439391,30/07/14,191.04503,17.39436,0.091048
28/07/15,207.789993,209.5,206.800003,209.330002,123544800,207.015311,29/07/14,191.015935,15.99938,0.083759
27/07/15,206.940002,207.550003,206.259995,206.789993,132361100,204.503389,28/07/14,191.84033,12.66306,0.066008
24/07/15,210.300003,210.369995,207.600006,208,117755000,205.700016,25/07/14,191.762739,13.93728,0.072680
23/07/15,211.529999,211.649994,209.75,210.179993,90509100,207.855903,24/07/14,192.664711,15.19119,0.078848
22/07/15,210.929993,211.770004,210.889999,211.369995,88667900,209.032747,23/07/14,192.655018,16.37773,0.085011
21/07/15,212.429993,212.740005,211.389999,211.759995,77965000,209.418434,22/07/14,192.228273,17.19016,0.089426
20/07/15,212.75,213.179993,212.210007,212.589996,70446800,210.239258,21/07/14,191.394184,18.84507,0.098462
17/07/15,212.289993,212.550003,211.800003,212.470001,89030000,210.12059,18/07/14,191.753046,18.36754,0.095787
16/07/15,211.869995,212.300003,211.580002,212.300003,106683300,209.952471,17/07/14,189.813305,20.13917,0.106100
15/07/15,210.729996,211.279999,210.039993,210.610001,97914100,208.281156,16/07/14,191.995513,16.28564,0.084823
14/07/15,209.720001,211.050003,209.649994,210.679993,81709600,208.350374,15/07/14,191.287497,17.06288,0.089200
13/07/15,208.990005,209.899994,208.940002,209.759995,106069400,207.440549,14/07/14,191.646359,15.79419,0.082413
10/07/15,207.289993,207.979996,204.949997,207.479996,129456900,205.185762,11/07/14,190.686183,14.49958,0.076039
09/07/15,207.039993,207.350006,204.770004,204.899994,144113100,202.634289,10/07/14,190.424313,12.20998,0.064120
08/07/15,206.419998,206.759995,204.25,204.529999,164020100,202.268385,09/07/14,191.180811,11.08757,0.057995
